feeder,band,band_priority,committed_hours_per_day,primary_business_units,cap_oct,cap_nov,cap_dec,cap_mean,cap_total_q4,cap_for_weight,cap_imputed_flag,demand_weight,avg_interruptions_per_day,avg_interruption_duration_hours,avg_response_time_calls_hours,avg_response_time_complaints_hours,in_myto,in_caps_oct,in_caps_nov,in_caps_dec,months_present,band_myto,band_oct,business_units_oct,n_bus_oct,band_nov,business_units_nov,n_bus_nov,band_dec,business_units_dec,n_bus_dec
33-EjigboTCN-SHASHA,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.25,7.2588888888888885,0.016666666666666666,7.2588888888888885,True,False,False,False,0,A,,,,,,,,,
33-IkoroduTCN-DANGOTE,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.25,6.015,0.016666666666666666,6.015,True,False,False,False,0,A,,,,,,,,,
33-IkoroduTCN-IGBOGBO,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.25,5.091666666666667,0.016666666666666666,5.091666666666667,True,False,False,False,0,A,,,,,,,,,
33-IkoroduTCN-INDUSTRIAL,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.25,8.428055555555554,0.016666666666666666,8.428055555555554,True,False,False,False,0,A,,,,,,,,,
33-IkoroduTCN-PULKIT,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.25,7.481111111111111,0.016666666666666666,7.481111111111111,True,False,False,False,0,A,,,,,,,,,
33-IkoroduTCN-SPINTEX,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.25,6.915,0.016666666666666666,6.915,True,False,False,False,0,A,,,,,,,,,
33-IkoroduTCN-UNTL,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.25,5.45,0.016666666666666666,5.45,True,False,False,False,0,A,,,,,,,,,
33-IlupejuTCN-ILUPEJU BY-PASS,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.25,7.646111111111111,0.016666666666666666,7.646111111111111,True,False,False,False,0,A,,,,,,,,,
33-IlupejuTCN-ILUPEJU IGBOBI,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.25,10.359722222222222,0.016666666666666666,10.359722222222222,True,False,False,False,0,A,,,,,,,,,
33-IsoloTCN-AFPRINT,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.25,7.7411111111111115,0.016666666666666666,7.7411111111111115,True,False,False,False,0,A,,,,,,,,,
33-IsoloTCN-AJAO,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.25,6.172777777777778,0.016666666666666666,6.172777777777778,True,False,False,False,0,A,,,,,,,,,
33-IsoloTCN-ASWANI,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.25,9.635833333333332,0.016666666666666666,9.635833333333332,True,False,False,False,0,A,,,,,,,,,
33-IsoloTCN-PTC INTERFACE,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.25,4.545555555555556,0.016666666666666666,4.545555555555556,True,False,False,False,0,A,,,,,,,,,
33-ItireTCN-AGO I,A,5,21.0,OSHODI BU,762.0,786.0,802.0,783.3333333333334,2350.0,783.3333333333334,False,0.0031594327445114523,1.69,16.183888888888887,0.016666666666666666,16.183888888888887,True,True,True,True,3,A,B,OSHODI BU,1.0,B,OSHODI BU,1.0,B,OSHODI BU,1.0
33-ItireTCN-AGO II,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.25,8.743611111111111,0.016666666666666666,8.743611111111111,True,False,False,False,0,A,,,,,,,,,
33-MarylandTCN-M/ALAUSA,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.25,11.223055555555556,0.016666666666666666,11.223055555555556,True,False,False,False,0,A,,,,,,,,,
33-MarylandTCN-PTC,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.25,9.756666666666666,0.016666666666666666,9.756666666666666,True,False,False,False,0,A,,,,,,,,,
33-OdogunyanTCN-Chiki Chiki,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.25,5.689722222222223,0.016666666666666666,5.689722222222223,True,False,False,False,0,A,,,,,,,,,
33-OdogunyanTCN-MEGA STEEL,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.25,4.921666666666667,0.016666666666666666,4.921666666666667,True,False,False,False,0,A,,,,,,,,,
33-OdogunyanTCN-ODOGUNYAN,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.25,4.89,0.016666666666666666,4.89,True,False,False,False,0,A,,,,,,,,,
33-OgbaTCN-CISCO,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.25,5.653333333333333,0.016666666666666666,5.653333333333333,True,False,False,False,0,A,,,,,,,,,
33-OgbaTCN-IJU WATER WORKS,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.25,10.0,0.016666666666666666,10.0,True,False,False,False,0,A,,,,,,,,,
33-OgbaTCN-PTC DUNLOP,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.25,10.0,0.016666666666666666,10.0,True,False,False,False,0,A,,,,,,,,,
33-OgbaTCN-PTC EXP.,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.25,18.031666666666666,0.016666666666666666,18.031666666666666,True,False,False,False,0,A,,,,,,,,,
33-OgbaTCN-SANKYO,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.25,7.7525,0.016666666666666666,7.7525,True,False,False,False,0,A,,,,,,,,,
33-OgbaTCN-UNIVERSAL STEEL,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.25,8.912222222222223,0.016666666666666666,8.912222222222223,True,False,False,False,0,A,,,,,,,,,
33-Oke-AroTCN-LAMBE,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.25,17.535555555555558,0.016666666666666666,17.535555555555558,True,False,False,False,0,A,,,,,,,,,
33-Oke-AroTCN-NEW IJU W/WORKS,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.25,7.771944444444444,0.016666666666666666,7.771944444444444,True,False,False,False,0,A,,,,,,,,,
33-Oke-AroTCN-YIDI,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.25,14.393333333333333,0.016666666666666666,14.393333333333333,True,False,False,False,0,A,,,,,,,,,
33-OtaTCN-AMJE,A,5,21.0,ABULE-EGBA BU,618.0,636.0,650.0,634.6666666666666,1904.0,634.6666666666666,False,0.0025598127427871506,1.69,10.236388888888888,0.016666666666666666,10.236388888888888,True,True,True,True,3,A,C,ABULE-EGBA BU,1.0,C,ABULE-EGBA BU,1.0,C,ABULE-EGBA BU,1.0
33-OworonshokiTCN-CHEVRON,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.25,5.0377777777777775,0.016666666666666666,5.0377777777777775,True,False,False,False,0,A,,,,,,,,,
33-OworonshokiTCN-IGBOBI,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.25,6.131944444444444,0.016666666666666666,6.131944444444444,True,False,False,False,0,A,,,,,,,,,
33-OworonshokiTCN-OGUDU 1,A,5,21.0,,,,,,,854.1858974358973,True,0.0034452036947985637,0.25,7.755833333333333,0.016666666666666666,7.755833333333333,True,False,False,False,0,A,,,,,,,,,
11-Abule TaylorINJ-T1-Bode Williams,B,4,17.0,AKOWONJO BU,372.0,383.0,391.0,382.0,1146.0,382.0,False,0.0015407276277489888,6.72,7.557777777777778,0.016666666666666666,7.557777777777778,True,True,True,True,3,B,D,AKOWONJO BU,1.0,D,AKOWONJO BU,1.0,D,AKOWONJO BU,1.0
11-Adeniyi JonesINJ-T1- Anifowoshe,B,4,16.0,IKEJA BU,,,846.0,846.0,846.0,846.0,False,0.0034121873640723683,,,,,False,False,False,True,1,,,,,,,,B,IKEJA BU,1.0
11-Adeniyi JonesINJ-T1-Ajao,B,4,17.0,IKEJA BU,902.0,929.0,949.0,926.6666666666666,2780.0,926.6666666666666,False,0.00373754171478376,5.72,5.671666666666667,0.016666666666666666,5.671666666666667,True,True,True,True,3,B,B,IKEJA BU,1.0,B,IKEJA BU,1.0,B,IKEJA BU,1.0
11-Adeniyi JonesINJ-T1-Anifowoshe,B,4,17.0,IKEJA BU,804.0,828.0,,816.0,1632.0,816.0,False,0.0032911878121549085,5.72,3.9058333333333333,0.016666666666666666,3.9058333333333333,True,True,True,False,2,B,B,IKEJA BU,1.0,B,IKEJA BU,1.0,,,
11-AgegeINJ-T3-Oyemekun,B,4,17.0,IKEJA BU,527.0,543.0,554.0,541.3333333333334,1624.0,541.3333333333334,False,0.002183369692377276,6.72,2.64,0.016666666666666666,2.64,True,True,True,True,3,B,C,IKEJA BU,1.0,C,IKEJA BU,1.0,C,IKEJA BU,1.0
11-AjaoINJ-T1-Airport Road,B,4,17.0,OSHODI BU,779.0,802.0,819.0,800.0,2400.0,800.0,False,0.00322665471779893,5.72,10.868333333333334,0.016666666666666666,10.868333333333334,True,True,True,True,3,B,B,OSHODI BU,1.0,B,OSHODI BU,1.0,B,OSHODI BU,1.0
11-AjegunleINJ-T1-Thomas Olaniyan,B,4,17.0,IKORODU BU,458.0,472.0,482.0,470.6666666666667,1412.0,470.6666666666667,False,0.0018983485256383703,5.72,6.121388888888888,0.016666666666666666,6.121388888888888,True,True,True,True,3,B,B,IKORODU BU,1.0,B,IKORODU BU,1.0,B,IKORODU BU,1.0
11-AkokaINJ-T1-Akoka,B,4,16.0,SHOMOLU BU,761.0,784.0,800.0,781.6666666666666,2345.0,781.6666666666666,False,0.003152710547182704,,,,,False,True,True,True,3,,B,SHOMOLU BU,1.0,B,SHOMOLU BU,1.0,B,SHOMOLU BU,1.0
11-AkokaINJ-T3-Akoka,B,4,17.0,,,,,,,705.793427230047,True,0.0028466896147041334,5.72,4.240277777777778,0.016666666666666666,4.240277777777778,True,False,False,False,0,B,,,,,,,,,
11-AkokaINJ-T3-Community,B,4,17.0,,,,,,,705.793427230047,True,0.0028466896147041334,5.72,5.567777777777778,0.016666666666666666,5.567777777777778,True,False,False,False,0,B,,,,,,,,,
11-AlajaINJ-T1-Koloba,B,4,17.0,,,,,,,705.793427230047,True,0.0028466896147041334,6.72,16.67138888888889,0.016666666666666666,16.67138888888889,True,False,False,False,0,B,,,,,,,,,
11-AlapereINJ-T1-Araba,B,4,17.0,SHOMOLU BU,531.0,547.0,558.0,545.3333333333334,1636.0,545.3333333333334,False,0.0021995029659662704,6.72,5.960833333333333,0.016666666666666666,5.960833333333333,True,True,True,True,3,B,B,SHOMOLU BU,1.0,B,SHOMOLU BU,1.0,B,SHOMOLU BU,1.0
11-AlapereINJ-T1-Bakare,B,4,17.0,SHOMOLU BU,535.0,551.0,562.0,549.3333333333334,1648.0,549.3333333333334,False,0.0022156362395552654,5.72,3.9058333333333333,0.016666666666666666,3.9058333333333333,True,True,True,True,3,B,B,SHOMOLU BU,1.0,B,SHOMOLU BU,1.0,B,SHOMOLU BU,1.0
11-AlimoshoINJ-T4-FHA,B,4,17.0,AKOWONJO BU,478.0,493.0,503.0,491.3333333333333,1474.0,491.3333333333333,False,0.0019817037725148425,5.72,8.292777777777777,0.016666666666666666,8.292777777777777,True,True,True,True,3,B,B,AKOWONJO BU,1.0,B,AKOWONJO BU,1.0,B,AKOWONJO BU,1.0
11-AlimoshoINJ-T8-Wole Omo Osho,B,4,17.0,AKOWONJO BU,466.0,480.0,490.0,478.6666666666667,1436.0,478.6666666666667,False,0.0019306150728163596,6.72,6.403611111111111,0.016666666666666666,6.403611111111111,True,True,True,True,3,B,B,AKOWONJO BU,1.0,B,AKOWONJO BU,1.0,B,AKOWONJO BU,1.0
11-AmikanleINJ-T1-Ige,B,4,17.0,AKOWONJO BU,368.0,379.0,387.0,378.0,1134.0,378.0,False,0.0015245943541599943,6.72,16.67138888888889,0.016666666666666666,16.67138888888889,True,True,True,True,3,B,D,AKOWONJO BU,1.0,D,AKOWONJO BU,1.0,D,AKOWONJO BU,1.0
11-AmikanleINJ-T1-Isoto,B,4,17.0,AKOWONJO BU,278.0,287.0,293.0,286.0,858.0,286.0,False,0.0011535290616131173,6.72,10.536111111111111,0.016666666666666666,10.536111111111111,True,True,True,True,3,B,D,AKOWONJO BU,1.0,D,AKOWONJO BU,1.0,D,AKOWONJO BU,1.0
11-BolorunpeluINJ-T3- Governor,B,4,16.0,ABULE-EGBA BU;OSHODI BU,,,983.0,983.0,983.0,983.0,False,0.003964751984495435,,,,,False,False,False,True,1,,,,,,,,B,ABULE-EGBA BU;OSHODI BU,2.0
11-BolorunpeluINJ-T3-Governor,B,4,17.0,ABULE-EGBA BU;OSHODI BU,935.0,963.0,,949.0,1898.0,949.0,False,0.0038276191589889804,5.72,4.534166666666667,0.016666666666666666,4.534166666666667,True,True,True,False,2,B,B,ABULE-EGBA BU;OSHODI BU,2.0,B,ABULE-EGBA BU;OSHODI BU,2.0,,,
11-IgbobiINJ-T1-Apata,B,4,17.0,SHOMOLU BU,683.0,704.0,718.0,701.6666666666666,2105.0,701.6666666666666,False,0.002830045075402811,6.72,10.0,0.016666666666666666,10.0,True,True,True,True,3,B,B,SHOMOLU BU,1.0,B,SHOMOLU BU,1.0,B,SHOMOLU BU,1.0
11-IgbobiINJ-T2-Market,B,4,17.0,SHOMOLU BU,633.0,652.0,665.0,650.0,1950.0,650.0,False,0.0026216569582116303,5.72,8.823055555555555,0.016666666666666666,8.823055555555555,True,True,True,True,3,B,B,SHOMOLU BU,1.0,B,SHOMOLU BU,1.0,B,SHOMOLU BU,1.0
11-IgbobiINJ-T3-Ikorodu,B,4,17.0,SHOMOLU BU,404.0,416.0,425.0,415.0,1245.0,415.0,False,0.0016738271348581948,6.72,10.0,0.016666666666666666,10.0,True,True,True,True,3,B,C,SHOMOLU BU,1.0,C,SHOMOLU BU,1.0,C,SHOMOLU BU,1.0
11-IgbobiINJ-T3-Mushin,B,4,17.0,SHOMOLU BU,392.0,404.0,412.0,402.6666666666667,1208.0,402.6666666666667,False,0.0016240828746254615,6.72,7.765555555555555,0.016666666666666666,7.765555555555555,True,True,True,True,3,B,C,SHOMOLU BU,1.0,C,SHOMOLU BU,1.0,C,SHOMOLU BU,1.0
11-IjuINJ-T1-Ajuwon,B,4,17.0,ABULE-EGBA BU,512.0,527.0,538.0,525.6666666666666,1577.0,525.6666666666666,False,0.0021201810374870465,5.72,9.92861111111111,0.016666666666666666,9.92861111111111,True,True,True,True,3,B,A,ABULE-EGBA BU,1.0,A,ABULE-EGBA BU,1.0,A,ABULE-EGBA BU,1.0
11-IjuINJ-T1-Galilee,B,4,17.0,ABULE-EGBA BU,519.0,535.0,546.0,533.3333333333334,1600.0,533.3333333333334,False,0.0021511031451992868,5.72,8.962499999999999,0.016666666666666666,8.962499999999999,True,True,True,True,3,B,B,ABULE-EGBA BU,1.0,B,ABULE-EGBA BU,1.0,B,ABULE-EGBA BU,1.0
11-IsheriINJ-T1-Bankole,B,4,17.0,SHOMOLU BU,750.0,773.0,789.0,770.6666666666666,2312.0,770.6666666666666,False,0.0031083440448129687,5.72,8.595833333333333,0.016666666666666666,8.595833333333333,True,True,True,True,3,B,B,SHOMOLU BU,1.0,B,SHOMOLU BU,1.0,B,SHOMOLU BU,1.0
11-IsheriINJ-T1-Isheri,B,4,17.0,SHOMOLU BU,750.0,772.0,789.0,770.3333333333334,2311.0,770.3333333333334,False,0.0031069996053472194,5.72,11.500555555555556,0.016666666666666666,11.500555555555556,True,True,True,True,3,B,B,SHOMOLU BU,1.0,B,SHOMOLU BU,1.0,B,SHOMOLU BU,1.0
11-MarylandINJ-T1-Ketu,B,4,17.0,SHOMOLU BU,543.0,560.0,571.0,558.0,1674.0,558.0,False,0.0022505916656647535,5.72,6.405833333333334,0.016666666666666666,6.405833333333334,True,True,True,True,3,B,B,SHOMOLU BU,1.0,B,SHOMOLU BU,1.0,B,SHOMOLU BU,1.0
11-MongoroINJ-T1-New Dopemu,B,4,17.0,AKOWONJO BU,484.0,499.0,509.0,497.3333333333333,1492.0,497.3333333333333,False,0.0020059036828983345,6.72,10.447222222222223,0.016666666666666666,10.447222222222223,True,True,True,True,3,B,B,AKOWONJO BU,1.0,B,AKOWONJO BU,1.0,B,AKOWONJO BU,1.0
11-New AlausaINJ-T5- Morrison,B,4,16.0,IKEJA BU,,,785.0,785.0,785.0,785.0,False,0.0031661549418401996,,,,,False,False,False,True,1,,,,,,,,B,IKEJA BU,1.0
11-New GowonINJ-T1- Olorunadaba,B,4,16.0,AKOWONJO BU,,,559.0,559.0,559.0,559.0,False,0.0022546249840620022,,,,,False,False,False,True,1,,,,,,,,B,AKOWONJO BU,1.0
11-New GowonINJ-T1-Olorunadaba,B,4,17.0,AKOWONJO BU,531.0,547.0,,539.0,1078.0,539.0,False,0.002173958616117029,5.72,8.269444444444446,0.016666666666666666,8.269444444444446,True,True,True,False,2,B,B,AKOWONJO BU,1.0,B,AKOWONJO BU,1.0,,,
11-ObawoleINJ-T1- Youdeowei,B,4,16.0,ABULE-EGBA BU,,,474.0,474.0,474.0,474.0,False,0.0019117929202958658,,,,,False,False,False,True,1,,,,,,,,B,ABULE-EGBA BU,1.0
11-ObawoleINJ-T1-Anthony Youdeowei,B,4,16.0,ABULE-EGBA BU,456.0,470.0,479.0,468.3333333333333,1405.0,468.3333333333333,False,0.0018889374493781233,,,,,False,True,True,True,3,,B,ABULE-EGBA BU,1.0,B,ABULE-EGBA BU,1.0,B,ABULE-EGBA BU,1.0
11-ObawoleINJ-T1-Shonubi,B,4,17.0,ABULE-EGBA BU,490.0,504.0,515.0,503.0,1509.0,503.0,False,0.0020287591538160773,5.72,10.0,0.016666666666666666,10.0,True,True,True,True,3,B,B,ABULE-EGBA BU,1.0,B,ABULE-EGBA BU,1.0,B,ABULE-EGBA BU,1.0
11-ObawoleINJ-T1-Youdeowei,B,4,17.0,ABULE-EGBA BU,450.0,464.0,,457.0,914.0,457.0,False,0.0018432265075426387,5.72,3.9058333333333333,0.016666666666666666,3.9058333333333333,True,True,True,False,2,B,B,ABULE-EGBA BU,1.0,B,ABULE-EGBA BU,1.0,,,
11-OdogunyanINJ-T1-Agodo,B,4,17.0,IKORODU BU;OSHODI BU,791.0,814.0,832.0,812.3333333333334,2437.0,812.3333333333334,False,0.0032763989780316633,5.72,73.58333333333333,0.016666666666666666,73.58333333333333,True,True,True,True,3,B,B,IKORODU BU;OSHODI BU,2.0,B,IKORODU BU;OSHODI BU,2.0,B,IKORODU BU;OSHODI BU,2.0
11-OgbaINJ-T1-Ijaye,B,4,17.0,IKEJA BU,829.0,854.0,872.0,851.6666666666666,2555.0,851.6666666666666,False,0.0034350428349901106,5.72,6.4,0.016666666666666666,6.4,True,True,True,True,3,B,B,IKEJA BU,1.0,B,IKEJA BU,1.0,B,IKEJA BU,1.0
11-OgbaINJ-T2-Ifako,B,4,17.0,IKEJA BU,847.0,873.0,891.0,870.3333333333334,2611.0,870.3333333333334,False,0.0035103314450720857,5.72,9.120833333333334,0.016666666666666666,9.120833333333334,True,True,True,True,3,B,C,IKEJA BU,1.0,C,IKEJA BU,1.0,C,IKEJA BU,1.0
11-OgbaINJ-T3-Oba Akran,B,4,17.0,IKEJA BU,975.0,1004.0,1025.0,1001.3333333333334,3004.0,1001.3333333333334,False,0.00403869615511166,5.72,6.484166666666667,0.016666666666666666,6.484166666666667,True,True,True,True,3,B,B,IKEJA BU,1.0,B,IKEJA BU,1.0,B,IKEJA BU,1.0
11-OguduINJ-T2-Alapere,B,4,17.0,SHOMOLU BU,534.0,550.0,561.0,548.3333333333334,1645.0,548.3333333333334,False,0.0022116029211580166,5.72,9.284444444444444,0.016666666666666666,9.284444444444444,True,True,True,True,3,B,B,SHOMOLU BU,1.0,B,SHOMOLU BU,1.0,B,SHOMOLU BU,1.0
11-OguduINJ-T3-Kola Adeshina,B,4,17.0,SHOMOLU BU,540.0,556.0,568.0,554.6666666666666,1664.0,554.6666666666666,False,0.002237147271007258,5.72,4.721111111111111,0.016666666666666666,4.721111111111111,True,True,True,True,3,B,B,SHOMOLU BU,1.0,B,SHOMOLU BU,1.0,B,SHOMOLU BU,1.0
11-OguduINJ-T3-Soluyi,B,4,17.0,SHOMOLU BU,779.0,803.0,819.0,800.3333333333334,2401.0,800.3333333333334,False,0.0032279991572646796,5.72,4.219166666666667,0.016666666666666666,4.219166666666667,True,True,True,True,3,B,A,SHOMOLU BU,1.0,A,SHOMOLU BU,1.0,A,SHOMOLU BU,1.0
11-OjoduINJ-T1-Ojodu,B,4,17.0,IKEJA BU,791.0,815.0,833.0,813.0,2439.0,813.0,False,0.0032790878569631623,5.72,3.6425,0.016666666666666666,3.6425,True,True,True,True,3,B,B,IKEJA BU,1.0,B,IKEJA BU,1.0,B,IKEJA BU,1.0
11-OjoduINJ-T2-Yakoyo,B,4,17.0,IKEJA BU,672.0,692.0,707.0,690.3333333333334,2071.0,690.3333333333334,False,0.0027843341335673268,5.72,7.753611111111111,0.016666666666666666,7.753611111111111,True,True,True,True,3,B,C,IKEJA BU,1.0,C,IKEJA BU,1.0,C,IKEJA BU,1.0
11-Oke AfaINJ-T2-LCHE,B,4,17.0,,,,,,,705.793427230047,True,0.0028466896147041334,5.72,7.038611111111111,0.016666666666666666,7.038611111111111,True,False,False,False,0,B,,,,,,,,,
11-Oke AfaINJ-T2-Osolo,B,4,17.0,OSHODI BU,529.0,545.0,556.0,543.3333333333334,1630.0,543.3333333333334,False,0.0021914363291717733,5.72,10.466388888888888,0.016666666666666666,10.466388888888888,True,True,True,True,3,B,B,OSHODI BU,1.0,B,OSHODI BU,1.0,B,OSHODI BU,1.0
11-Oke IraINJ-T1-Nob Oluwa,B,4,17.0,IKEJA BU,679.0,700.0,715.0,698.0,2094.0,698.0,False,0.002815256241279566,5.72,8.51,0.016666666666666666,8.51,True,True,True,True,3,B,B,IKEJA BU,1.0,B,IKEJA BU,1.0,B,IKEJA BU,1.0
11-Oke IraINJ-T1-Oke Ira,B,4,17.0,IKEJA BU,687.0,708.0,723.0,706.0,2118.0,706.0,False,0.0028475227884575557,5.72,6.086944444444444,0.016666666666666666,6.086944444444444,True,True,True,True,3,B,B,IKEJA BU,1.0,B,IKEJA BU,1.0,B,IKEJA BU,1.0
11-Oke IraINJ-T2-Abiodun Jagun,B,4,17.0,IKEJA BU,740.0,762.0,779.0,760.3333333333334,2281.0,760.3333333333334,False,0.003066666421374733,6.72,5.420277777777778,0.016666666666666666,5.420277777777778,True,True,True,True,3,B,B,IKEJA BU,1.0,B,IKEJA BU,1.0,B,IKEJA BU,1.0
11-Oke IraINJ-T2-Kayode,B,4,17.0,IKEJA BU,831.0,856.0,874.0,853.6666666666666,2561.0,853.6666666666666,False,0.0034431094717846077,5.72,6.348055555555555,0.016666666666666666,6.348055555555555,True,True,True,True,3,B,B,IKEJA BU,1.0,B,IKEJA BU,1.0,B,IKEJA BU,1.0
11-Oke IraINJ-T2-Thomas Salako,B,4,17.0,IKEJA BU,714.0,736.0,751.0,733.6666666666666,2201.0,733.6666666666666,False,0.002959111264114768,5.72,5.294722222222222,0.016666666666666666,5.294722222222222,True,True,True,True,3,B,B,IKEJA BU,1.0,B,IKEJA BU,1.0,B,IKEJA BU,1.0
11-OloworaINJ-T1-Orisha,B,4,17.0,SHOMOLU BU,796.0,821.0,838.0,818.3333333333334,2455.0,818.3333333333334,False,0.0033005988884151553,5.72,9.40638888888889,0.016666666666666666,9.40638888888889,True,True,True,True,3,B,B,SHOMOLU BU,1.0,B,SHOMOLU BU,1.0,B,SHOMOLU BU,1.0
11-OpebiINJ-T1-Agbaoku,B,4,17.0,IKEJA BU,859.0,886.0,904.0,883.0,2649.0,883.0,False,0.003561420144770569,5.72,7.7411111111111115,0.016666666666666666,7.7411111111111115,True,True,True,True,3,B,B,IKEJA BU,1.0,B,IKEJA BU,1.0,B,IKEJA BU,1.0
11-OpebiINJ-T1-Olusosun,B,4,17.0,IKEJA BU,834.0,859.0,877.0,856.6666666666666,2570.0,856.6666666666666,False,0.003455209426976354,5.72,4.456944444444445,0.016666666666666666,4.456944444444445,True,True,True,True,3,B,B,IKEJA BU,1.0,B,IKEJA BU,1.0,B,IKEJA BU,1.0
11-OpebiINJ-T1-Salvation,B,4,17.0,IKEJA BU,894.0,921.0,941.0,918.6666666666666,2756.0,918.6666666666666,False,0.003705275167605771,5.72,5.960277777777778,0.016666666666666666,5.960277777777778,True,True,True,True,3,B,B,IKEJA BU,1.0,B,IKEJA BU,1.0,B,IKEJA BU,1.0
11-OworoINJ-T1-Anthony,B,4,17.0,SHOMOLU BU,835.0,861.0,879.0,858.3333333333334,2575.0,858.3333333333334,False,0.0034619316243051017,5.72,11.17611111111111,0.016666666666666666,11.17611111111111,True,True,True,True,3,B,A,SHOMOLU BU,1.0,A,SHOMOLU BU,1.0,A,SHOMOLU BU,1.0
11-OworoINJ-T1-Hospital,B,4,17.0,SHOMOLU BU,798.0,822.0,839.0,819.6666666666666,2459.0,819.6666666666666,False,0.0033059766462781534,5.72,6.34,0.016666666666666666,6.34,True,True,True,True,3,B,B,SHOMOLU BU,1.0,B,SHOMOLU BU,1.0,B,SHOMOLU BU,1.0
11-OworoINJ-T1-Ifako,B,4,17.0,SHOMOLU BU,541.0,557.0,569.0,555.6666666666666,1667.0,555.6666666666666,False,0.0022411805894045063,5.72,5.637777777777777,0.016666666666666666,5.637777777777777,True,True,True,True,3,B,C,SHOMOLU BU,1.0,C,SHOMOLU BU,1.0,C,SHOMOLU BU,1.0
11-OworoINJ-T2-Ladilac,B,4,17.0,SHOMOLU BU,515.0,531.0,542.0,529.3333333333334,1588.0,529.3333333333334,False,0.002134969871610292,6.72,8.67361111111111,0.016666666666666666,8.67361111111111,True,True,True,True,3,B,C,SHOMOLU BU,1.0,C,SHOMOLU BU,1.0,C,SHOMOLU BU,1.0
11-OworoINJ-T2-Oworo,B,4,17.0,SHOMOLU BU,522.0,538.0,549.0,536.3333333333334,1609.0,536.3333333333334,False,0.0021632031003910326,5.72,8.791944444444445,0.016666666666666666,8.791944444444445,True,True,True,True,3,B,B,SHOMOLU BU,1.0,B,SHOMOLU BU,1.0,B,SHOMOLU BU,1.0
11-OworoINJ-T3-Gbagada,B,4,17.0,SHOMOLU BU,854.0,880.0,899.0,877.6666666666666,2633.0,877.6666666666666,False,0.003539909113318576,5.72,6.996944444444445,0.016666666666666666,6.996944444444445,True,True,True,True,3,B,A,SHOMOLU BU,1.0,A,SHOMOLU BU,1.0,A,SHOMOLU BU,1.0
11-PTCINJ-T2-Medical,B,4,17.0,IKEJA BU,824.0,849.0,867.0,846.6666666666666,2540.0,846.6666666666666,False,0.0034148762430038673,5.72,4.295555555555556,0.016666666666666666,4.295555555555556,True,True,True,True,3,B,B,IKEJA BU,1.0,B,IKEJA BU,1.0,B,IKEJA BU,1.0
11-PTCINJ-T3-Olowu,B,4,17.0,IKEJA BU,830.0,856.0,874.0,853.3333333333334,2560.0,853.3333333333334,False,0.0034417650323188584,5.72,7.287222222222222,0.016666666666666666,7.287222222222222,True,True,True,True,3,B,B,IKEJA BU,1.0,B,IKEJA BU,1.0,B,IKEJA BU,1.0
11-SecretariatINJ-T1-Lateef Jakande,B,4,17.0,IKEJA BU,827.0,852.0,870.0,849.6666666666666,2549.0,849.6666666666666,False,0.003426976198195613,5.72,12.757777777777777,0.016666666666666666,12.757777777777777,True,True,True,True,3,B,B,IKEJA BU,1.0,B,IKEJA BU,1.0,B,IKEJA BU,1.0
